,Links to real estate
0,https://batdongsan.com.vn/ban-dat-xa-ly-nhon/chinh-chu-can-ban-gap-tai-duong-xuong-ca-so-1-va-2-huyen-can-gio-tphcm-gia-dau-tu-pr42429368
1,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-dinh-chinh-phuong-11-9/can-ban-gap-toa-can-ho-dich-vu-cho-nguoi-nuoc-ngoai-thue-145-12a-chinh-pr42623945
2,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hong-bang-phuong-6-9-prj-d-homme/-1-pn-huong-ong-nam-thoang-mat-pr42730847
3,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-huu-2-prj-safira-khang-dien/ban-goc-2pn-2wc-68-9m2-view-boi-du-an-gia-ban-3-950-ty-tro-vay-pr42643861
4,https://batdongsan.com.vn/ban-dat-duong-kenh-lien-vung-xa-vinh-loc-b/can-an-nhanh-lua-mat-tien-inh-chanh-pr41292294
5,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-7-xa-an-nhon-tay/ban-full-tho-cu-mt-xe-container-co-gpxd-2-lau-gia-re-hon-ngan-hang-dinh-gia-pr42720087
6,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/ban-2pn-bs8-view-cuc-dinh-boi-song-gia-n-3-ty-pr42556193
7,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-8-phuong-linh-trung/ban-mtkd-ham-5-tang-7x22-gan-ga-metro-hoang-dieu-2-p-gom-21-phong-khach-san-pr42341134
8,https://batdongsan.com.vn/ban-dat-duong-ap-chanh-15-xa-tan-xuan-5/lo-trong-duy-nhat-tai-15-dien-tich-lon-166m2-phu-hop-xay-nha-o-hoac-kinh-doanh-pr42332054
9,https://batdongsan.com.vn/ban-nha-rieng-duong-vinh-vien-phuong-5-12/chinh-chu-ban-hem-3-5m-trung-tam-quan-10-nguyen-tri-x-vien-pr42703921
10,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-binh-khiem-phuong-ben-nghe/-2-mt-hem-p-quan-1-dt-5x20m-3-tang-hdt-42tr-th-gia-33-5-ty-pr42695362
11,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/ban-3-png-ngu-2wc-81-4m2-so-ng-gia-6-5-ty-pr42699808
12,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-nine-south-estates/chinh-chu-ban-estatesn-9-17-140-m2-pr42106437
13,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-huu-2-prj-safira-khang-dien/ban-3pn2wc-90-3m2-view-song-noi-that-xin-du-an-gia-ban-5-ty-tro-vay-pr42587373
14,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-huu-2-prj-safira-khang-dien/ban-goc-2pn2wc-tang-san-vuon-68-9m2-du-an-gia-4-050-ty-tro-vay-ngan-hang-pr42268000
15,https://batdongsan.com.vn/ban-nha-rieng-duong-lam-van-ben-phuong-tan-kieng/chinh-chu-can-ban-hem-30-lien-he-quang-pr42693472
16,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thuong-hien-phuong-6-13/ban-tien-binh-thanh-dong-tien-sau-cai-tao-14-phong-90tr-thang-pr41830514
17,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-sang-phuong-tan-son-nhi/chinh-chu-can-ban-cap-4-dien-tich-148m2-tien-xay-moi-pr42273167
18,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-troi-phuong-1-23/chinh-chu-can-ban-toa-vp-o-p-1-q-tan-binh-dt-73m-8-tang-gia-27-ty-pr42666295
19,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-chinh-phuong-tan-thoi-nhat-1-prj-can-ho-8x-plus-truong-chinh/ban-2pn-2wc-da-co-so-ng-tai-tro-vay-ngan-hang-ls-tot-pr42597547
20,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thanh-loc-49-phuong-thanh-loc-3/ban-cap-4-tien-49-quan-12-dt-150-2m2-gia-8-35-ty-pr42596310
21,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/mt-hem-xe-hoi-6-6x10-xe-dau-duoc-trong-tang-het-noi-that-gia-6ty8-pr42104095
22,https://batdongsan.com.vn/ban-nha-rieng-phuong-phu-my-9/-dep-duong-12m-thiet-ke-hien-dai-6-phong-ngu-dt-5x18-4-tang-chi-16ty500tr-pr42673642
23,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/-4-tang-o-to-do-cua-phap-ly-chuan-chi-5ty900tr-pr42592762
24,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-huu-lau-phuong-phu-my-9/ban-5pn-6wc-80m2-tai-q7-hcm-gia-15-9-ty-pr41730929
